epic,gaia_source,[C/Fe],e_[C/Fe],f_[C/Fe],[O/Fe],e_[O/Fe],f_[O/Fe],[Mg/Fe],e_[Mg/Fe],f_[Mg/Fe],[Si/Fe],e_[Si/Fe],f_[Si/Fe],[Fe/H],e_[Fe/H],f_[Fe/H],ages,ruwe,[Si/H],[Mg/H],[C/H],[O/H],e_[Si/H],e_[Mg/H],e_[C/H],e_[O/H],[Mg/Si],e_[Mg/Si],[Si/Mg],e_[Si/Mg],[C/O],e_[C/O],[Fe/Si],A(Si),A(Mg),A(C),A(O),si_moles,mg_moles,fe_moles,c_moles,o_moles,[Mg/Si]_abs,[C/O]_abs,u_w_2,halo_flag
220269908,2559239796141225984,0.1735,0.0316,0,0.4442,0.0407,0,0.3619,0.0179,0,0.4262,0.0196,0,-0.997,0.0086,0,7.4,1.2982903,-0.5708,-0.6351,-0.8235,-0.5528,0.0136484822253337,0.0141395375602358,0.0317611361725144,0.0227981967442958,-0.0643,0.0452507821907759,0.0643,0.0452507821907759,-0.2707,0.0900227599370428,-0.4262,6.9392,6.8949,7.5665,8.1072,8693606.925094156,7850548.482379964,2837919.028441558,36855304.18524797,127997061.6705182,0.9030254703280064,0.2879386737807975,80.23883598358091,0
201509931,3699101061115856384,0.0731999999999999,0.0294,0,0.2986,0.0364,0,0.2079,0.0222,0,0.2707,0.0282,0,-0.3941,0.0146,0,13.8,0.94808245,-0.1234,-0.1862,-0.3209,-0.0955,0.0262485245668163,0.0246361775477712,0.0386961592862724,0.0301720254079404,-0.0628,0.0828907059180536,0.0628,0.0828907059180536,-0.2254,0.1129850106239718,-0.2707,7.3866,7.3438,8.0691,8.5645,24355665.453133725,22069881.433585834,11373653.676160648,117246530.4582298,366859694.4413426,0.906149802231998,0.3195950174814759,50.01466185030146,0
211505418,650396625737244800,0.0205,0.0381,0,0.243,0.0457,0,0.0962,0.0311,0,0.1582,0.0377,0,-0.3098,0.017,0,12.4,0.9636223,-0.1516,-0.2136,-0.2893,-0.0668,0.0414328730289174,0.039769548377755,0.0551194498485816,0.0413358273807707,-0.062,0.1322393672450565,0.062,0.1322393672450565,-0.2224999999999999,0.1586413349556208,-0.1582,7.3584,7.3164,8.1007,8.5932,22824433.12173501,20720488.977590032,13810201.01444547,126095619.59936844,391922322.45497626,0.9078205301781864,0.32173625326956,94.12200645970104,0
211491091,650384015713291008,0.2128,0.0358,0,0.1507,0.0466,0,0.0726999999999999,0.0242,0,0.1322999999999999,0.0309,0,-0.4639,0.0151,0,7.1,1.1150638,-0.3316,-0.3912,-0.2511,-0.3132,0.0361747518470738,0.0331683155513363,0.0350599035530716,0.0498597459440728,-0.0595999999999999,0.1130086110000159,0.0595999999999999,0.1130086110000159,0.0620999999999999,0.1403480127674765,-0.1322999999999999,7.1784,7.1388,8.138900000000001,8.3468,15079953.418017894,13765753.865094155,9685008.361475434,137689239.12009698,222228625.4328204,0.912851219331122,0.6195837230776572,55.3740995412115,0
211309965,601309719387434624,-0.1001999999999999,0.0407,0,0.2131,0.0511,0,0.0857,0.0284,0,0.1422999999999999,0.0356,0,-0.509,0.0167,0,4.9,0.97403884,-0.3667,-0.4233,-0.6092,-0.2959,0.0406037497033448,0.0375527730487069,0.0758173295360127,0.0481236874376266,-0.0565999999999999,0.1273493028145608,0.0565999999999999,0.1273493028145608,-0.3132999999999999,0.2067736381612302,-0.1422999999999999,7.1433,7.1067,7.780800000000001,8.3641,13909131.081747305,12784978.440332092,8729713.683881113,60367056.47858464,231259722.4063951,0.9191788016944914,0.2610357560340792,41.85931198670136,0
212147744,666087756176796544,-0.1168,0.0242,0,0.1431,0.0355,0,0.0171999999999999,0.0168,0,0.0725,0.0211,0,-0.2742,0.0104,0,4.7,0.98507583,-0.2017,-0.257,-0.391,-0.1311,0.0277807780652174,0.0255121494936948,0.0468554763637255,0.0382784670980657,-0.0553,0.0868487176620837,0.0553,0.0868487176620837,-0.2599,0.1393145179967265,-0.0725,7.3083,7.273000000000001,7.999,8.5289,20337613.984257393,18749945.080674212,14989943.64112208,99770006.38225546,337987002.86198914,0.9219343574515606,0.2951888845944609,15.072362124099858,0
213635280,6759663042213539840,0.0441,0.0279,0,0.2672,0.0311,0,0.1473999999999999,0.0216,0,0.1994,0.0261,0,-0.5776,0.0137,0,4.3,1.1647122,-0.3782,-0.4302,-0.5335,-0.3104,0.0274537393569039,0.0260815470425715,0.038859666636316,0.0278534610311691,-0.052,0.0871933643066915,0.052,0.0871933643066915,-0.2230999999999999,0.1100888299378399,-0.1994,7.1318,7.0998,7.8565,8.3496,13545654.68242691,12583457.886902854,7454182.133789901,71862115.83804585,223666014.94661793,0.9289663867799364,0.321292065114126,98.10923809713334,0
211774082,658839603727360256,0.0355999999999999,0.0197,0,0.1717,0.0264,0,0.1284,0.0153,0,0.1773,0.0189,0,-0.2576,0.0099,0,7.1,1.0702096,-0.0802999999999999,-0.1292,-0.222,-0.0859,0.0206546333635111,0.0191765916923853,0.0279933371615871,0.0274937360857752,-0.0489,0.0648967809731171,0.0489,0.0648967809731171,-0.1361,0.090346246100631,-0.1773,7.4297,7.4008,8.168000000000001,8.5741,26896761.995649844,25165177.61614645,15573993.890808558,147231250.24327224,375059352.911114,0.9356210840627042,0.3925545359701105,58.92905056082272,0
206043990,2600241473798583296,0.0187,0.0478,0,0.3891,0.0636,0,0.0837999999999999,0.0262,0,0.1307,0.0316,0,-0.8252,0.0138,0,7.0,0.95712066,-0.6945,-0.7414000000000001,-0.8065,-0.4361,0.0364542772681179,0.034084250540636,0.0674806453268637,0.0399181439248428,-0.0469,0.114913772019951,0.0469,0.114913772019951,-0.3703999999999999,0.1805305379150239,-0.1307,6.8155,6.788600000000001,7.583500000000001,8.2239,6538829.300047421,6146105.347195248,4215023.497210448,38326574.04000352,167455725.0575118,0.9399397147667816,0.2288758657062364,57.37303373537083,0
211905406,657465867028259840,-0.007,0.0194,0,0.0786999999999999,0.0247,0,0.0295,0.0158,0,0.0763,0.0195,0,-0.2494,0.0105,0,5.8,1.2408211,-0.1731,-0.2199,-0.2564,-0.1707,0.025830266806436,0.0237453104986515,0.0303192592471972,0.0315282030723245,-0.0468,0.0807889946751235,0.0468,0.0807889946751235,-0.0857,0.1007176374765762,-0.0763,7.3369,7.3101,8.133600000000001,8.4893,21722009.53521927,20422081.263346378,15870843.16550871,136019132.28556746,308531847.68063825,0.9401561688035704,0.4408592931591329,20.2996009813001,0
211771842,656163937885039616,0.0065,0.025,0,0.0455,0.0354,0,0.0284999999999999,0.0203,0,0.0734999999999999,0.027,0,0.089,0.014,0,3.1,1.0970651,0.1624999999999999,0.1175,0.0955,0.1345,0.0357438767456406,0.0307930763719825,0.0381902256930809,0.0480751524315623,-0.0449999999999999,0.1086331798136567,0.0449999999999999,0.1086331798136567,-0.039,0.1413741048349955,-0.0734999999999999,7.672499999999999,7.6475,8.4855,8.7945,47043540.57259755,44411966.13655889,34593937.78261224,305844024.6510551,623017147.4290632,0.9440608762859246,0.4909078761526038,37.11984509665955,0
220636054,2582086582614532096,-0.1955,0.0149,0,-0.0519,0.0204,0,-0.002,0.0119,0,0.0423,0.014,0,-0.2618,0.0074,0,1.3,1.0171512,-0.2194999999999999,-0.2638,-0.4573,-0.3137,0.0197611132019699,0.018767788406418,0.0345204040220575,0.0339823832186464,-0.0443,0.0627525825176857,0.0443,0.0627525825176857,-0.1436,0.1115378651212959,-0.0423,7.2905,7.2662,7.9327,8.3463,19520907.34043304,18458652.75851296,15424105.957495969,85644602.88900584,221972922.4954279,0.9455837495975472,0.3858335599053524,15.199717102630563,0
